product_number,gao_program,slug,verdict,org,corpus_title,matched_on,curator_notes
GAO-25-107569,MQ-4C Triton,0305421N,y,N,MQ-4C Triton Modernization,MQ-4C Triton,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,MRC,0605235A,y,A,Strategic Mid-Range Capability,Mid-Range Capability,"Title says ""Strategic Mid-Range Capability""; narrative names ""The Mid-Range Capability (MRC) Weapon System""."
GAO-25-107569,MRC,9214C81200,y,A,MID-RANGE CAPABILITY (MRC),MRC,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,NSSL,1206853SF,y,F,National Security Space Launch Program (SPACE) - EMD,National Security Space Launch,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,NSSL,NSSL00,y,F,National Security Space Launch,National Security Space Launch,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,Next Gen OPIR GEO,1206443SF,y,F,Next-Gen OPIR -- GEO,Next Gen OPIR GEO,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,Next Gen OPIR Polar,1206444SF,y,F,Next-Gen OPIR -- Polar,Next Gen OPIR Polar,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,PrSM,0605231A,y,A,Precision Strike Missile (PrSM),PrSM,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,PrSM,8540C29600,y,A,PRECISION STRIKE MISSILE (PRSM),PrSM,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,SDB II,SDB000,n,F,Small Diameter Bomb,Small Diameter Bomb Increment II,"REJECTED. GAO assessed Small Diameter Bomb Increment II (GBU-53/B StormBreaker); SDB000's own J-book narrative opens ""GBU-39/B: Small Diameter Bomb Increment I (SDB I)"". Different weapon. The correct line, SDB002 ""SMALL DIAMETER BOMB II"", is not proposed by either rule (its title omits ""Increment""), so SDB II ships no crosswalk at all rather than a wrong one."
GAO-25-107569,SSC,0605220N,y,N,Ship to Shore Connector (SSC),SSC,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,T-7A,APT000,y,F,Advanced Pilot Training T-7A,T-7A,"Narrative opens ""The Advanced Pilot Training (APT)/ T-7A Red Hawk program"", matching GAO's ""formerly the Advanced Pilot Training program""."
GAO-25-107569,T-AO 205,0605327N,y,N,T-AO 205 Class,T-AO 205,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,VC-25B,0401319F,y,F,VC-25B,VC-25B,Corpus title and J-book narrative both name the program GAO assessed.
GAO-25-107569,WSF,1206422SF,y,F,Weather System Follow-on,Weather System Follow-On,Corpus title and J-book narrative both name the program GAO assessed.
