clause_id,from_pe_bli,to_pe_bli,relation,verdict,narrating_pe,fiscal_year,evidence_fact_id,evidence_sentence,from_title,to_title,curator_notes
e6f6343280bba3de,0603176BR,0603160BR,realigned,y,0603176BR,2026,3120aba012fc1435,Funds in program element 0603176BR Project RR were realigned to Project RR in PE 0603160BR during FY 2025 to better integrate this activity administratively into the RDT&E portfolio.,Advanced Concepts and Performance Assessment,Counter Weapons of Mass Destruction Advanced Technology Development,S1: 'Funds in program element 0603176BR Project RR were realigned to Project RR in PE 0603160BR during FY 2025 to better integrate this activity administratively into the RDT&E portfolio.' Both codes named. S2: both DTRA.
02fbaea954176d0e,0603211F,0603273F,realigned,y,0603273F,2026,1c076cad3fd14a45,"Program Element 0603211F, Project 634094, was realigned into this Program Element 0603273F, Project 634094, to enhance transparency and traceability of the Nuclear Science & Technology portfolio.",Aerospace Technology Dev/Demo,Science & Technology for Nuclear Re-entry Systems,"S1: 'Program Element 0603211F, Project 634094, was realigned into this Program Element 0603273F, Project 634094'. Source in subject position, destination named — the shape the adjacency rules cannot reach. S2: both Air Force; 0603211F Aerospace Technology Dev/Demo -> 0603273F S&T for Nuclear Re-entry Systems."
f96273eb609f72ac,0603270F,0603203F,realigned,y,0603270F,2026,37a22ec843167daf,"In FY 2026, in order to better plan, execute, and demonstrate integrated sensing and spectrum dominance technologies/capabilities, funding and technical work was transferred from this program into Program Element 0603203F, Advanced Aerospace Sensors, Project 63665A, Advanced Aerospace Sensors Technology.",Electronic Combat Technology,Advanced Aerospace Sensors,"S1: 'In FY 2026 ... funding and technical work was transferred from this program into Program Element 0603203F, Advanced Aerospace Sensors, Project 63665A'. S2: 0603203F's warehouse title is 'Advanced Aerospace Sensors', the clause's own gloss; both Air Force."
ff43de85ce847b75,0603289D8Z,0603291D8Z,realigned,y,0603291D8Z,2021,4670cc133c9822fe,This funding line which is not a new program was established in FY 2018 from transferred funds from PE 0603289D8Z / Advanced Innovative Analysis and Concepts for MHA related endeavors.,Advanced Innovative Analysis and Concepts,,S1: 'This funding line which is not a new program was established in FY 2018 from transferred funds from PE 0603289D8Z / Advanced Innovative Analysis and Concepts for MHA endeavors.' S2: dim_pe_titles gives 0603289D8Z exactly that title.
c7223b8eb1e643bb,0603342D8W,0603342D8Z,realigned,y,0603342D8W,2020,c2525b4ffa4c811e,"Effective FY 2020, DIU will transfer from WHS PE 0603342D8W to OSD PE 0603342D8Z with a functional realignment to OUSD(R&E).",,Defense Innovation Unit (DIU),"S1: 'Effective FY 2020, DIU will transfer from WHS PE 0603342D8W to OSD PE 0603342D8Z with a functional realignment to OUSD(R&E).' Same serial, different agency suffix — an organisational move with both codes stated. S2: 0603342D8Z = Defense Innovation Unit (DIU)."
a5c9fa7c69dbeefa,0603553N,0603561N,realigned,y,0603553N,2026,cc19b93b3a44aa7c,"Effective FY 2026, Project 1704 moves from PE 0603553N to PE 0603561N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on Planning, Programming, Budgeting, and Execution (PPBE) Reform Final Report in an effort to rapidly increase Navy Lethality in the Submarine and Surface Fleet.",Surface ASW,Advanced Submarine System Development,"S1: 'Effective FY 2026, Project 1704 moves from PE 0603553N to PE 0603561N as part of the PE/BLI consolidation effort ... Commission on PPBE Reform Final Report.' Both codes named. S2: both Navy."
f0b36db43ee1d338,0603562N,0603561N,realigned,y,0603562N,2026,d8f0b812e0ad65c4,"Effective FY 2026, Projects 0770 and 1739 move from PE 0603562N to PE 0603561N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on Planning, Programming, Budgeting, and Execution (PPBE) Reform Final Report in an effort to rapidly increase Navy Lethality in the Submarine and Surface Fleet.",Submarine Tactical Warfare Systems,Advanced Submarine System Development,"S1: 'Effective FY 2026, Projects 0770 and 1739 move from PE 0603562N to PE 0603561N as part of the PE/BLI consolidation effort ...'. Both codes named. S2: both Navy."
91ee1edf613577ae,0603618D8Z,0603699D8Z,realigned,y,0603618D8Z,2020,893755ec98ce542b,This effort will be realigned and funded out of the 0603699D8Z Emerging Capabilities Technology Development (ECTD) Program Element beginning in FY 2020.,Joint Electronic Advanced Technology,,"S1: 'This effort will be realigned and funded out of the 0603699D8Z Emerging Capabilities Technology Development (ECTD) Program Element beginning in FY 2020' — funded out of X means the effort now lives in X, so this PE is the source. S2: both OSD."
157c7b5c19b116da,0603648D8Z,0603699D8Z,realigned,r,0603699D8Z,2020,fa5cc6181b8ee62b,"In FY 2018, funding was transferred from Joint Capability Technology Demonstration (JCTD) (Program Element 0603648D8Z) to better enable alignment and execution of the allocated funds.",,,"Judged TRUE: 'In FY 2018, funding was transferred from Joint Capability Technology Demonstration (JCTD) (Program Element 0603648D8Z)' into this ECTD line. DECLINED by the second read, which called an effective-date qualifier a one-time adjustment on one of the two identical narratives that carry this sentence and confirmed it on the other. Any refusal binds, so it does not ship. Recorded as the measured cost of that caution."
a50ccf4e1706934c,0603699D8Z,0603338D8Z,realigned,y,0603699D8Z,2022,879593414c677a02,"In FY 2021, SH transfers to the Defense Modernization and Prototyping (DM&P) Program Element, 0603338D8Z for further development.",,,"S1: the paragraph establishes that ECTD (0603699D8Z) supports SH execution, then 'In FY 2021, SH transfers to the Defense Modernization and Prototyping (DM&P) Program Element, 0603338D8Z for further development.' Single code, first-person source."
4520714450a1dba9,0603712S,0603680S,realigned,y,0603680S,2017,33e723b434560bf1,"Over the FY 17- FY 21 Planning Period, $9.606M per year was realigned within the ManTech PE, from the DLA Log R&D PE (0603712S) and DLA Procurement Defense-Wide Fund.",Generic Logistics R&D Technology Demonstrations,Manufacturing Technology Program,"S1: '$9.606M per year was realigned within the ManTech PE, from the DLA Log R&D PE (0603712S)' — money INTO the narrating ManTech PE. S2: 0603712S = Generic Logistics R&D Technology Demonstrations (DLA), 0603680S = Manufacturing Technology Program (DLA); the clause's own gloss 'DLA Log R&D PE' matches."
2a5f91520c9a648e,0603821D8Z,0608648D8Z,realigned,r,0603821D8Z,2022,bf7556c4c3e83f8e,"FY 2021 - FY 2025 funding was transferred to BA 8, PE 0608648D8Z, in support of the Software and Digital Technology Pilot Program.",,Acquisition Visibility - Software Pilot Program,"Judged TRUE: the AEDIS paragraph states 'FY 2021 - FY 2025 funding was transferred to BA 8, PE 0608648D8Z', and 0608648D8Z's warehouse title is 'Acquisition Visibility - Software Pilot Program'. DECLINED by the second read on one of two identical narratives ('does not find a budget-identity move'); any refusal binds. Recorded as the measured cost of that caution."
193489af32d1fa67,0603832D8Z,0603833D8Z,renamed,y,0603832D8Z,2017,23eadb9a915e9e6d,"In FY 2016, this Program Element (PE) will be transferred to a new PE 0603833D8Z entitled, ""Engineering Science and Technology"" in order to support the Deputy Assistant Secretary of Defense (Systems Engineering) priorities -- to “grow engineering capabilities to address emerging Defense challenges” and to “champion systems engineering as a tool to improve acquisition quality.",,,"S1: 'In FY 2016, this Program Element (PE) will be transferred to a new PE 0603833D8Z entitled, ""Engineering Science and Technology""' — an explicit identity change, so relation=renamed."
28a51e7fd46a7187,0603833D8Z,0605142D8Z,realigned,n,0603833D8Z,2021,183c8842eab0bb13,"In addition, following the realignment of FY 2021 resources, approximately $2.000 million of Systems Engineering (0605142D8Z) resources will be used to sustain SERC operations for continued support of Service funded projects.",,Systems Engineering,"REJECTED — DIRECTION INVERTED AND NOT A TRANSFER. The sentence says '$2.000 million of Systems Engineering (0605142D8Z) resources will be used to sustain SERC operations'. That is 0605142D8Z's money being SPENT on an activity; if it were a transfer at all it would run 0605142D8Z -> this PE, the opposite of what was proposed."
d7b7e0d018e6ae83,0604029N,0604028N,realigned,y,0604028N,2026,ff8d384fbb1a83d9,"(U) The TETRA program is a continuation of efforts, realigned from Program Element (PE) 0604029N (UUV Core Technologies) Project Unit (PU) 4053 (UxS Platform) to PE 0604028N (Small/Medium Unmanned Undersea Vehicles) PU 1036 (TETRA) in FY25, and also includes payload development addressing emergent operational requirements.",Unmanned Undersea Vehicle Core Technologies,Small and Medium Unmanned Undersea Vehicles,"S1: 'The TETRA program is a continuation of efforts, realigned from Program Element (PE) 0604029N (UUV Core Technologies) Project Unit (PU) 4053 to PE 0604028N (Small/Medium Unmanned Undersea Vehicles) PU 1036 in FY25'. S2: both warehouse titles match the clause's own parenthetical glosses."
c20ab5175dfad851,0604120A,0604805A,realigned,y,0604120A,2026,5447b43733489db8,"Starting in FY 2026 the CMFF APNT Card effort was realigned ($5.365M) to Budget Activity-5 (BA-5) DL9 Project Code APNT Cards C5ISR Mounted Form Factor (CMFF) within PE 0604805A Command, Control, Communications Systems - Eng Dev.","Assured Positioning, Navigation and Timing (PNT)","Command, Control, Communications Systems - Eng Dev","S1: 'Starting in FY 2026 the CMFF APNT Card effort was realigned ($5.365M) to Budget Activity-5 (BA-5) DL9 Project Code APNT Cards ... within PE 0604805A Command, Control, Communications Systems - Eng Dev.' S2: the warehouse title matches the clause's gloss; both Army."
0bc5d12e6bee673b,0604130V,0308609V,realigned,y,0604130V,2023,2390919bbbb52115,Starting in FY2023 the funding for Enterprise Security Service transfers to PE 0308609V  National Industrial Security System (NISS) Software Pilot Program.,Enterprise Security System (ESS),,"S1: 'Starting in FY2023 the funding for Enterprise Security Service transfers to PE 0308609V National Industrial Security System (NISS) Software Pilot Program.' S2 CHECKED AGAINST THE COUNTERPARTY'S OWN BOOK: 0604130V's PB2025 narrative carries a NISS accomplishment block, and 0308609V's PB2023 book is titled 'National Industrial Security System Software Pilot Program' in BA-8. The NISS work left ESS for its own BA-8 pilot line."
0f7f9e2e8bdc54cb,0604270A,0609277A,realigned,y,0604270A,2026,5a877283ae58c0c0,"Administrative realignment of FY26 RDT&E funds for Electronic Warfare Planning and Management Tool (EWPMT) transferred to
Budget Activity-9 (BA-9) Program Element (PE) 0609277A:",Electronic Warfare Development,Electronic Warfare Agile Development,"S1: 'Administrative realignment of FY26 RDT&E funds for Electronic Warfare Planning and Management Tool (EWPMT) transferred to Budget Activity-9 (BA-9) Program Element (PE) 0609277A'. S2: 0604270A Electronic Warfare Development -> 0609277A Electronic Warfare Agile Development, both Army."
6aaa2efb957121f0,0604270A,0609345A,realigned,y,0604270A,2026,7c294885f06b6d05,Administrative realignment of FY26 RDT&E funds for MFEW-AL transferred to  Budget Activity-9 (BA-9) Program Element (PE) 0609345A:,Electronic Warfare Development,Unmanned Aerial Systems Launched Effects Agile Systems Development,"S1: 'Administrative realignment of FY26 RDT&E funds for MFEW-AL transferred to Budget Activity-9 (BA-9) Program Element (PE) 0609345A'. S2: 0609345A = Unmanned Aerial Systems Launched Effects Agile Systems Development, both Army, BA-9 agile pilot."
bed0294bdc368c7c,0604518N,0603561N,realigned,y,0604518N,2026,bcff05e0e0053e76,"Effective FY 2026, Projects 3094 and 3439 move from PE 0604518N to PE 0603561N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on Planning, Programming, Budgeting, and Execution (PPBE) Reform Final Report in an effort to rapidly increase Navy Lethality in the Submarine and Surface Fleet.",Combat Information Center Conversion,Advanced Submarine System Development,"S1: 'Effective FY 2026, Projects 3094 and 3439 move from PE 0604518N to PE 0603561N as part of the PE/BLI consolidation effort ...'. Both codes named. S2: both Navy."
bb41f8135c18034f,0604562N,0101226N,realigned,y,0101226N,2026,5268ce2965848d97,Submarine Launch Unmanned Aerial System (SLUAS) funds transfer from RDTEN PE 0604562N beginning in FY25.,Submarine Tactical Warfare System,Submarine Acoustic Warfare Development,"S1: 'Submarine Launch Unmanned Aerial System (SLUAS) funds transfer from RDTEN PE 0604562N beginning in FY25', in 0101226N's own book. S2: 0604562N Submarine Tactical Warfare System -> 0101226N Submarine Acoustic Warfare Development, both Navy."
875eb4067c4cfd3f,0604562N,0604503N,realigned,y,0604562N,2026,d49e1818ac60b96d,"Effective FY 2026, Project 0236 is moving from PE 0604562N to PE 0604503N as part of the PE/BLI consolidation effort in the DoD Implementation Plan from the Commission on Planning, Programming, Budgeting, and Execution (PPBE) Reform Final Report in an effort to rapidly increase Navy Lethality in the Submarine and Surface Fleet.",Submarine Tactical Warfare System,Submarine SWFTS Modernization,"S1: 'Effective FY 2026, Project 0236 is moving from PE 0604562N to PE 0604503N as part of the PE/BLI consolidation effort ...'. Both codes named. S2: both Navy."
8e4ec3edf26fce2e,0604659N,0105519N,realigned,y,0604659N,2026,70913d1ebd62165c,SLCM funds were transferred to new PE 0105519N starting in FY26.,Precision Strike Weapons Development Program,Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support,"S1: SLCM-N paragraph — 'SLCM funds were transferred to new PE 0105519N starting in FY26.' S2: 0105519N's warehouse title is 'Nuclear-Armed Sea-Launched Cruise Missile (SLCM-N) Support', which is what the paragraph is about."
655c386607fb8dcf,0604741A,0609135A,realigned,y,0604741A,2026,810d66a745cea8e5,"Beginning FY 2026, C-sUAS RDTE funding has been realigned to new PE 0609135A/A33, Counter Unmanned Aerial Systems (UAS) Agile Development.","Air Defense Command, Control and Intelligence - Eng Dev",Counter Unmanned Aerial Systems (UAS) Agile Development,"S1: 'Beginning FY 2026, C-sUAS RDTE funding has been realigned to new PE 0609135A/A33, Counter Unmanned Aerial Systems (UAS) Agile Development.' S2: the warehouse title matches the clause's gloss word for word; both Army."
d0a7b0318a9c90ed,0604787J,0604826J,merged,y,0604787J,2017,570f0aef9f608c6e,"In FY2016 this program element will be consolidated with PE 0604826J - Joint C5 (Joint Command, Control, Communications, Computers and Cyber) Capability Development, Integration, and Interoperability Assessments.",,"Joint C5 Capability Development, Integration and interoperability Assessments","S1: 'In FY2016 this program element will be consolidated with PE 0604826J - Joint C5 ... Capability Development, Integration, and Interoperability Assessments.' The narrating C4AD line is absorbed; relation=merged. S2: 0604826J's warehouse title matches the clause's gloss."
c0c54398f073a91d,0604827A,0609345A,realigned,y,0604827A,2026,6aab476b399490a8,Realignment starting FY 2026 to Lethal Semi-Autonomous Aerial Unmanned Sys-Eng Dev (0609345A/A49) funding line.,Soldier Systems - Warrior Dem/Val,Unmanned Aerial Systems Launched Effects Agile Systems Development,"S1: 'Realignment starting FY 2026 to Lethal Semi-Autonomous Aerial Unmanned Sys-Eng Dev (0609345A/A49) funding line.' The code is parenthesised with a project suffix, which is why the adjacency rules miss it. S2: 0609345A = UAS Launched Effects Agile Systems Development, both Army."
347fc0f210e37401,0604828J,0604826J,merged,y,0604828J,2017,70f856fdc80212b1,"In FY 2016 this program element will be consolidated with PE 0604826J - Joint C5 (Command, Control, Communications, Computers, and Cyber) Capability Development, Integration, and Interoperability Assessments.",,"Joint C5 Capability Development, Integration and interoperability Assessments",S1: 'In FY 2016 this program element will be consolidated with PE 0604826J - Joint C5 ... Assessments.' The narrating JFIIT line is absorbed; relation=merged. S2: 0604826J's warehouse title matches the clause's gloss word for word.
6390d0b76a2f4541,0605090S,0603712S,realigned,y,0605090S,2022,b946360745f6f925,Moved baseline funding from DRAS2 to LOG R&D PE 0603712S.,,Generic Logistics R&D Technology Demonstrations,"S1: 'Moved baseline funding from DRAS2 to LOG R&D PE 0603712S.' S2 CHECKED AGAINST THE NARRATING BOOK: 0605090S's own PB2022 narratives are titled 'Defense Retired and Annuitant Pay System 2 (DRAS2)', so DRAS2 IS this program element, and 0603712S is DLA's Generic Logistics R&D line. The program was cancelled (ADM 9 Apr 2020) and its baseline moved."
6a416dc14d577677,0605142D8Z,0603142D8Z,realigned,y,0605142D8Z,2026,4487a344218201a2,"In FY 2025, the Under Secretary of Defense for Research & Engineering (USD(R&E)) realigned funding from Project Code 842 to Mission Engineering and Integration (ME&I) Program Element 0603142D8Z, Project Code 123 to fund the Office of Mission Integration (MI).",Systems Engineering,Mission Engineering & Integration (ME&I),"S1: 'In FY 2025, USD(R&E) realigned funding from Project Code 842 to Mission Engineering and Integration (ME&I) Program Element 0603142D8Z, Project Code 123 to fund the Office of Mission Integration (MI).' S2: the warehouse title matches the clause's gloss exactly; both OSD."
1286523011546aa6,0605142D8Z,0603832D8Z,realigned,y,0605142D8Z,2017,78a136a8c58604e4,This project code will transfer to the Engineering Science and Technology PE 0603832D8Z in FY 2016.,Systems Engineering,,"S1: SERC paragraph in OSD Systems Engineering. 'This project code will transfer to the Engineering Science and Technology PE 0603832D8Z' — a project leaving this PE for a named one; partial, so no portion_amount. S2: 0603832D8Z narrates in PB2017 as the ES&T line."
a84d442aa43c2fe4,0605142D8Z,0605797D8Z,realigned,y,0605142D8Z,2020,b04b295046e4aad2,"In FY 2020, funding from this project will transfer to the Maintaining Technology Advantage PE 0605797D8Z, in alignment with the DD, STP&E mission.",Systems Engineering,Maintaining Technology Advantage,"S1: 'In FY 2020, funding from this project will transfer to the Maintaining Technology Advantage PE 0605797D8Z, in alignment with the DD, STP&E mission.' S2: the warehouse title matches the clause's gloss exactly; both OSD."
f9924ce7fdba57b7,0605205A,0609345A,realigned,y,0605205A,2026,23bb19f04b04caaa,"This funding is realigned to 0609345A - Unmanned Aerial Systems Launched Effects Agile Systems Development

The Family of Small Uncrewed Aircraft systems are critical to the Army's Transformation in Contact.",Small Unmanned Aerial Vehicle (SUAV) (6.5),Unmanned Aerial Systems Launched Effects Agile Systems Development,"S1: 'This funding is realigned to 0609345A - Unmanned Aerial Systems Launched Effects Agile Systems Development'. S2: the warehouse title matches the clause's gloss exactly; both Army. The evidence sentence runs on into the next paragraph because the source carries no full stop there — that is the book's punctuation, and the clause is quoted as it is."
c68d2590d82a7f3c,0605247A,0609278A,realigned,y,0605247A,2026,e09eba9031a07a35,Administrative realignment of FY26 RDT&E funds for Spectrum Situational Awareness System (S2AS) was transferred to budget Activity-9 (BA-9) Program Element (PE) 0609278A:,Spectrum Situational Awareness System (S2AS),Electronic Warfare Agile Systems Development,"S1: 'Administrative realignment of FY26 RDT&E funds for Spectrum Situational Awareness System (S2AS) was transferred to budget Activity-9 (BA-9) Program Element (PE) 0609278A'. S2: 0605247A S2AS -> 0609278A Electronic Warfare Agile Systems Development, both Army, BA-9 agile pilot."
6e750a75f948cd39,0605384BP,0605601A,realigned,y,0605384BP,2025,6493b8c967d05b49,"Beginning in FY24, Project DW6 will functionally transfer program and funding to the 2040 appropriation, PE 0605601A / Project WD1, West Desert Test Center.",Chemical and Biological Defense Program,Army Test Ranges and Facilities,"S1: 'Beginning in FY24, Project DW6 will functionally transfer program and funding to the 2040 appropriation, PE 0605601A / Project WD1, West Desert Test Center.' S2: 0605601A = Army Test Ranges and Facilities, and WDTC is an Army test centre — a cross-appropriation move CBDP -> Army 2040."
1f1e210e367ce4ba,0605798D8Z,0605797D8Z,realigned,y,0605798D8Z,2020,e238002346706f30,"In FY 2020, this funding is transferred to the Maintaining Technology Advantage PE 0605797D8Z, in accordance with the new OUSD(R&E) re-organization.",Defense Technology Analysis,Maintaining Technology Advantage,"S1: 'In FY 2020, this funding is transferred to the Maintaining Technology Advantage PE 0605797D8Z, in accordance with the new OUSD(R&E) re-organization.' S2: dim_pe_titles gives 0605797D8Z exactly the title the clause glosses; both OSD."
fd7b10bfba9a64f4,0605804D8Z,0605142D8Z,realigned,y,0605804D8Z,2021,062f7e33f2e7aaaa,"- Beginning in FY 2021, USD(R&E) consolidated all policy and workforce efforts under the SE Program Element 0605142D8Z.",Development Test and Evaluation,Systems Engineering,"S1: 'Beginning in FY 2021, USD(R&E) consolidated all policy and workforce efforts under the SE Program Element 0605142D8Z', and the next sentence confirms the direction: 'T&E Policy and Workforce efforts will be managed and funded from that PE with support from this PE.' S2: DT&E -> Systems Engineering, both OSD."
87c45989ba516036,1105232BB,1160434BB,merged,y,1105232BB,2018,744ba95ced3ae3b0,"Beginning in FY2017, this Program Element has been consolidated into SOCOM Program Element 1160434BB, Unmanned ISR.",,Unmanned ISR,"S1: 'Beginning in FY2017, this Program Element has been consolidated into SOCOM Program Element 1160434BB, Unmanned ISR.' S2: the warehouse title is the clause's own gloss."
62e2058d190e0968,1160434BB,1160405BB,realigned,y,1160434BB,2024,d086e1a30d5683a4,"Beginning in FY 2023 and beyond, SAFC funding has been consolidated into Expeditionary Organic Tactical Airborne ISR Capability Set (EOTACS) / Small Unmanned Systems (SUMS) under PE 1160405BB, Project S400, Special Operations Intelligence Systems.",Unmanned ISR,Intelligence Systems Development,"S1: 'Beginning in FY 2023 and beyond, SAFC funding has been consolidated into Expeditionary Organic Tactical Airborne ISR Capability Set (EOTACS) / Small Unmanned Systems (SUMS) under PE 1160405BB, Project S400, Special Operations Intelligence Systems.' S2: 1160405BB = Intelligence Systems Development (SOCOM). Continues the chain 0304210BB/1105232BB -> 1160434BB -> 1160405BB."
67ea37f85995b205,1203001SF,0303131F,realigned,y,CVR000,2026,6d797db22ed5dfe3,"FAB-T FET funding increase of $79.836M is due to service transfer from Space Force (PE 1203001SF / WSC FET000 / Appropriation 3022 / PSF) to Air Force (PE 0303131F / WSC CVR000 / Appropriation 3010 / APAF), Transfer Memo signed 12 Nov 2024.",Family of Advanced BLoS Terminals (FAB-T),Minimum Essential Emergency Communications Network (MEECN),"S1: 'FAB-T FET funding increase of $79.836M is due to service transfer from Space Force (PE 1203001SF / WSC FET000 / Appropriation 3022 / PSF) to Air Force (PE 0303131F / WSC CVR000 / Appropriation 3010 / APAF), Transfer Memo signed 12 Nov 2024.' Both codes, both appropriations, a signed memo. The RDT&E book states the same move for appropriations 3620 -> 3600."
